X,Y,r,theta(deg),theta(360),,X,Y,Age,Deviation
151.17215,448.24851,235.1179827,108.2833011,108.2833011,,-73.76021001,223.24851,6,1.203189037
189.37241,435.51406,213.496322,99.58787075,99.58787075,,-35.55995,210.51406,6.698970004,0.628524219
186.15156,436.06615,214.5993246,100.411269,100.411269,,-38.78080013,211.06615,6.903089987,0.666196993
188.26452,435.00858,213.18568,99.90409723,99.90409723,,-36.66783999,210.00858,7.913813852,0.627459137
191.73872,433.70624,211.329393,99.03690555,99.03690555,,-33.19363998,208.70624,7.505149978,0.572777394
189.44717,433.45984,211.4585151,99.66060468,99.66060468,,-35.48519,208.45984,7.531478917,0.586425038
173.92173,437.20869,218.2535509,103.5162939,103.5162939,,-51.01063004,212.20869,6.903089987,0.796741396
204.3667,427.30467,203.3473036,95.80456951,95.80456951,,-20.56566001,202.30467,6,0.342256902
207.9876,424.39422,200.1129178,94.85739346,94.85739346,,-16.94476001,199.39422,6,0.253223142
185.2376,429.64262,208.4568922,100.9774075,100.9774075,,-39.69475992,204.64262,7,0.544759773
181.97793,429.91472,209.3683967,101.83898,101.83898,,-42.95442993,204.91472,6.698970004,0.579526587
177.95313,430.08999,210.4018822,102.9019515,102.9019515,,-46.97923002,205.08999,7.041392685,0.620345117
209.67135,419.25355,194.852098,94.49206293,94.49206293,,-15.26101,194.25355,8.322219295,0.126378677
175.00703,427.25563,208.3263748,103.8658597,103.8658597,,-49.92532992,202.25563,6.698970004,0.592340664
210.59267,414.7481,190.2891699,94.32175579,94.32175579,,-14.33969,189.7481,6,0.016255316
167.13198,425.48816,208.6537472,106.0821774,106.0821774,,-57.8003799,200.48816,7,0.638123041
171.15406,423.79288,205.9386187,105.1375692,105.1375692,,-53.77829996,198.79288,8.480006943,0.562408473
185.98329,416.99119,195.9021365,101.4679068,101.4679068,,-38.94907001,191.99119,8.008600172,0.272432829
142.07988,428.57517,219.7894067,112.145692,112.145692,,-82.85248019,203.57517,8.198657087,0.979062176
178.21008,416.00268,196.6341659,103.7455342,103.7455342,,-46.72228002,191.00268,6,0.329050507
217.17077,404.49472,179.6624524,92.47600312,92.47600312,,-7.761589991,179.49472,8.260071388,-0.17502658
287.20902,381.63322,168.5596274,68.31745524,68.31745524,,62.27666,156.63322,6.954242509,-0.858069411
290.00645,380.56988,168.6316244,67.30068974,67.30068974,,65.07409,155.56988,7.322219295,-0.874065415
168.69448,413.60643,196.812308,106.6033091,106.6033091,,-56.23787996,188.60643,6,0.383022892
148.34378,418.17642,207.8050525,111.6268213,111.6268213,,-76.58858013,193.17642,8.354108439,0.716465044
181.69463,407.72068,187.7667388,103.3131825,103.3131825,,-43.23773007,182.72068,7.633468456,0.112843021
180.94598,406.80602,187.0514115,103.6008559,103.6008559,,-43.98638003,181.80602,8.480006943,0.100604028
194.14384,403.00665,180.6496621,99.81294923,99.81294923,,-30.78851999,178.00665,6.698970004,-0.024518016
173.82372,408.66748,190.64584,105.5501421,105.5501421,,-51.10863987,183.6674801,7.531478917,0.220695377
269.95905,380.81339,162.1888261,73.88185312,73.88185312,,45.02668999,155.81339,7,-0.918831764
276.56444,378.42706,161.8818533,71.40061398,71.40061398,,51.63208,153.42706,6.84509804,-0.969900669
319.52426,363.83656,167.9976724,55.73267639,55.73267639,,94.59189998,138.83656,8.260071388,-1.091399409
163.03195,408.20813,193.3827284,108.6685343,108.6685343,,-61.90040997,183.20813,6,0.339576053
187.26373,399.54865,178.5669536,102.1780079,102.1780079,,-37.6686301,174.54865,8.354108439,-0.030757337
200.9629,393.87884,170.5713857,98.07819837,98.07819837,,-23.96945999,168.87884,6.698970004,-0.290029367
162.94974,404.72328,190.1112899,109.0281917,109.0281917,,-61.98261997,179.72328,6,0.268702039
250.12395,378.55638,155.6090552,80.68336942,80.68336942,,25.19159,153.55638,6,-0.96982899
174.00136,399.7727,182.042477,106.2467981,106.2467981,,-50.93099999,174.7727,7.633468456,0.024044108
270.86056,371.58531,153.6120199,72.60315049,72.60315049,,45.9282,146.58531,8.292256071,-1.163784971
139.19392,408.3622,202.4173325,115.0603484,115.0603484,,-85.73844015,183.3622,6.602059991,0.657606087
201.28431,389.42997,166.1217785,98.18406776,98.18406776,,-23.64805,164.42997,6,-0.396496502
198.56014,389.84973,166.9458819,99.08901056,99.08901056,,-26.37222001,164.84973,8.480006943,-0.360424244
179.39144,393.78519,174.8210964,105.0997407,105.0997407,,-45.54091996,168.78519,6.698970004,-0.066637752
288.7998,361.94788,151.1084767,64.99739009,64.99739009,,63.86744001,136.94788,8.636487896,-1.363865204
191.51746,389.6557,168.0120683,101.4717017,101.4717017,,-33.41489989,164.6557001,7.851258349,-0.292751695
154.85553,400.04727,188.553199,111.8177514,111.8177514,,-70.07682997,175.0472701,6,0.280176205
270.91655,366.58005,148.8605263,72.00657324,72.00657324,,45.98418999,141.58005,7.944482672,-1.302949649
284.24463,362.52154,149.7668833,66.66973398,66.66973398,,59.31227001,137.52154,7.819543936,-1.371221015
306.37828,355.64109,153.9497719,58.05923969,58.05923969,,81.44591998,130.64109,6.477121255,-1.408624126
303.13753,355.05478,151.7573537,58.9804615,58.9804615,,78.20516998,130.05478,8.605305046,-1.451321882
263.59657,366.35547,146.5479104,74.70236475,74.70236475,,38.66421,141.35547,7.69019608,-1.320059313
185.87839,387.11171,166.74957,103.5449017,103.5449017,,-39.05397013,162.11171,6,-0.287475659
233.23492,373.4566,148.6885826,86.79901988,86.79901988,,8.302560004,148.4566,8.44870632,-1.049508658
291.37719,356.17423,147.0428307,63.13601934,63.13601934,,66.44483002,131.17423,6.602059991,-1.50811455
322.63774,347.07222,156.3584605,51.32657031,51.32657031,,97.70537999,122.07222,7.568201724,-1.4625146
305.44045,351.79923,150.1985262,57.58748651,57.58748651,,80.50808998,126.79923,6.903089987,-1.517943001
290.27398,355.98872,146.3815974,63.48842175,63.48842175,,65.34161999,130.98872,6.477121255,-1.5204326
181.34348,387.07191,167.8311487,105.0533687,105.0533687,,-43.58887996,162.07191,6,-0.234654751
235.60289,371.47753,146.8656767,85.83350233,85.83350233,,10.67053,146.47753,6.698970004,-1.116908598
145.68614,396.47755,188.9034503,114.8034329,114.8034329,,-79.2462199,171.47755,6,0.340678166
185.6996,384.63329,164.3836876,103.8078066,103.8078066,,-39.23275991,159.6332901,8.44870632,-0.341443359
307.09713,348.45799,148.3001171,56.35511622,56.35511622,,82.16477001,123.45799,7.278753601,-1.591574855
316.89606,345.43649,151.5330665,52.63512861,52.63512861,,91.9637,120.43649,8.44870632,-1.568129514
137.39818,396.61019,192.6455034,117.0250214,117.0250214,,-87.53417987,171.6101901,8.260071388,0.468152626
259.26288,361.43464,140.6875815,75.87610055,75.87610055,,34.33051999,136.43464,7.414973348,-1.466805887
171.48687,385.60669,169.2658538,108.406024,108.406024,,-53.44549,160.60669,8.605305046,-0.141259118
331.07247,339.52795,156.1485648,47.17682873,47.17682873,,106.14011,114.52795,8.292256071,-1.540445773
146.39713,391.77651,184.3425796,115.2157943,115.2157943,,-78.53522997,166.7765101,6,0.237358945
244.07571,363.48631,139.8031684,82.12972046,82.12972046,,19.14334999,138.48631,8.041392685,-1.383500886
266.98951,356.58853,138.1461005,72.27554512,72.27554512,,42.05715,131.58853,7.977723605,-1.604348916
