X,Y,r,theta(deg),theta(360),,X,Y,Age,Deviation
416.94419,251.25077,118.8012329,-53.67217787,306.3278221,,70.37837992,-95.71111,8.11,2.660800163
432.53856,263.5884,119.7599721,-44.12064469,315.8793553,,85.97275,-83.37348004,8.36,2.823722984
472.17246,292.85574,136.7644139,-23.30437496,336.695625,,125.60665,-54.10614008,6.76,3.124548263
481.53565,301.214,142.5121968,-18.72403325,341.2759667,,134.96984,-45.74788011,7.54,-3.098070232
428.61155,265.75949,115.4354001,-44.70400907,315.2959909,,82.04573997,-81.20239005,6.76,2.830850797
487.06738,308.1503,145.7636097,-15.44206454,344.5579355,,140.50157,-38.81157991,8.46,-3.05140608
470.90653,299.56645,133.0674319,-20.86553794,339.1344621,,124.34072,-47.39542991,8.16,-3.10317394
488.72738,313.81563,145.9746069,-13.12454931,346.8754507,,142.16157,-33.14624996,6.76,-3.011638583
437.42662,277.4091,114.4258537,-37.43359086,322.5664091,,90.86080993,-69.55278006,6.92,2.961877653
444.86535,286.38811,115.4641987,-31.64204874,328.3579513,,98.29954006,-60.57376995,8.06,3.058707612
381.42941,245.01916,107.7394485,-71.11971974,288.8802803,,34.86360006,-101.94272,7.65,2.402281676
396.87465,256.41825,103.5815057,-60.94209656,299.0579034,,50.30883996,-90.54363006,8.06,2.59843773
460.98555,302.87973,122.617751,-21.07002756,338.9299724,,114.41974,-44.08215009,8.31,-3.068251955
459.71347,302.03246,121.7417174,-21.65736394,338.3426361,,113.1476601,-44.92941994,6.68,-3.075128379
442.64262,293.15743,110.1166303,-29.24947844,330.7505216,,96.07681007,-53.80444996,8.81,3.122783843
439.76255,292.74899,107.8177619,-30.18672295,329.813277,,93.19673993,-54.21289006,6.32,3.116355269
479.17091,321.65381,134.9985591,-10.8051255,349.1948745,,132.6051,-25.30807001,8.11,-2.934367661
410.43013,273.23917,97.53814299,-49.09835482,310.9016452,,63.86432002,-73.72270998,6.8,2.833442739
471.41245,319.01494,127.9363708,-12.61766146,347.3823385,,124.84664,-27.94694009,9.06,-2.940714337
401.92593,269.73422,95.02028392,-54.36541226,305.6345877,,55.36011995,-77.22766004,6.84,2.75382398
474.34424,324.33947,129.7655602,-10.03984096,349.960159,,127.77843,-22.62241009,8.61,-2.902404291
389.12099,267.0418,90.54370509,-61.96596255,298.0340374,,42.55517993,-79.92008003,6.76,2.643881416
405.04402,279.03462,89.63154409,-49.27501792,310.7249821,,58.47821003,-67.92725998,6.72,2.87014559
414.05806,286.05798,90.9092341,-42.06257651,317.9374235,,67.49225001,-60.90389998,7.24,2.98936486
370.37694,258.10614,91.99082804,-74.99861253,285.0013875,,23.81113005,-88.85573999,6.9,2.408956179
423.90824,297.60096,91.75157711,-32.54653545,327.4534645,,77.34242996,-49.36092006,8.11,-3.132074966
446.86037,314.46223,105.4287722,-17.95450219,342.0454978,,100.29456,-32.49965001,8.11,-2.942791937
372.86281,262.05534,88.88561607,-72.79135737,287.2086426,,26.29699996,-84.90654001,7.91,2.463641177
403.29992,284.75421,84.19354752,-47.63482509,312.3651749,,56.73410998,-62.20767001,6.76,2.928229319
396.29714,280.52849,82.98554386,-53.18186396,306.818136,,49.73132995,-66.43339003,8.41,2.838216867
443.82834,314.85043,102.4262904,-18.27075985,341.7292402,,97.26253004,-32.11144992,6.74,-2.934713839
405.44108,287.32724,83.80088129,-45.36712627,314.6328737,,58.87526996,-59.63464003,6.8,2.970008265
401.20045,285.14965,82.49664033,-48.5271535,311.4728465,,54.63464,-61.81223,7.1,2.922237839
369.14257,262.25448,87.6644381,-75.07608519,284.9239148,,22.57675999,-84.70740001,8.81,2.430276006
417.77769,298.04891,86.39218997,-34.48382214,325.5161779,,71.21188004,-48.91296995,8.41,-3.137560338
442.38073,317.54859,100.2279428,-17.06545312,342.9345469,,95.81491999,-29.41328996,8.86,-2.903466052
340.57204,246.56294,100.5776935,-93.41647641,266.5835236,,-5.993769977,-100.39894,9.11,2.045503044
408.37252,296.0294,80.08861917,-39.49059355,320.5094065,,61.80671004,-50.93247995,6.88,3.093897743
363.96427,265.47742,83.32120758,-77.94726412,282.0527359,,17.39846003,-81.48446,9.06,2.404079263
400.48452,292.7536,76.45760203,-45.15344087,314.8465591,,53.91870997,-54.20828003,7.2,3.01689893
424.18684,310.23793,85.87009259,-25.31970008,334.6802999,,77.62102998,-36.72395003,6.5,-2.974763362
376.56961,277.22222,75.9200118,-66.72137824,293.2786218,,30.00380005,-69.73965998,7.16,2.643788279
446.0883,327.56794,101.394531,-11.027029,348.972971,,99.52248996,-19.39393999,6.76,-2.80352199
392.16381,290.86498,72.29135352,-50.89428847,309.1057115,,45.59799997,-56.09690003,6.78,2.943073118
352.60639,262.50934,84.66829465,-85.9088107,274.0911893,,6.040580004,-84.45254,7.58,2.257575875
394.12211,294.56586,70.75976669,-47.772113,312.227887,,47.5563,-52.39602,8.11,3.007643647
393.39281,295.36227,69.67989438,-47.77604198,312.223958,,46.82699998,-51.59961002,8.46,3.014812947
384.51849,289.91757,68.51612381,-56.36341105,303.6365889,,37.95267995,-57.04431003,7.96,2.872861955
416.65027,313.92451,77.48096121,-25.23889261,334.7611074,,70.08446001,-33.03736999,6.96,-2.924969527
383.55675,290.76582,67.27798155,-56.64517159,303.3548284,,36.99093999,-56.19606001,7.91,2.876526957
365.08589,277.62341,71.76919106,-75.0455793,284.9544207,,18.52008,-69.33847,6.38,2.524965364
389.84249,295.50136,67.23879944,-49.93721927,310.0627807,,43.27667997,-51.46052002,8.36,2.993876988
408.09937,309.40614,72.08892157,-31.39694353,328.6030565,,61.53356002,-37.55573997,6.74,-2.998499576
389.3138,296.51926,66.11995585,-49.72013234,310.2798677,,42.74799003,-50.44261997,7.91,3.005563155
381.68558,291.30016,65.81508428,-57.75011769,302.2498823,,35.11976999,-55.66172001,7.32,2.867588562
413.58734,315.71731,73.94666076,-24.99432408,335.0056759,,67.02152999,-31.24457002,6.7,-2.898727613
393.79174,303.41715,64.23730984,-42.6776449,317.3223551,,47.22593,-43.54473,6.72,-3.141112428
380.08717,293.97354,62.70124203,-57.68183181,302.3181682,,33.52136001,-52.98834,6.76,2.89159131
378.54569,293.23024,62.52840844,-59.23983084,300.7601692,,31.97988004,-53.73163998,8.81,2.865698193
367.70068,285.95966,64.55969002,-70.89081084,289.1091892,,21.13487004,-61.00221999,8.41,2.647304198
391.44346,303.20419,62.67965303,-44.27607243,315.7239276,,44.87765002,-43.75768998,7.36,3.125728027
382.71819,297.95252,60.900837,-53.58518555,306.4148145,,36.15238004,-49.00935997,7.16,2.976803091
398.69368,310.45515,63.64005159,-35.00472177,324.9952782,,52.12786998,-36.50673003,6.6,-3.002798315
441.04495,341.183,94.65570954,-3.500174153,356.4998258,,94.47913999,-5.778880077,6.84,-2.639786216
386.05638,303.47964,58.73849091,-47.75427155,312.2457284,,39.49056996,-43.48224003,7.26,3.095586204
432.66463,338.87254,86.47799851,-5.367418891,354.6325811,,86.09881999,-8.089340013,8.11,-2.629850464
392.57272,310.79921,58.51815504,-38.1683004,321.8316996,,46.00691,-36.16267,7.24,-3.018523588
368.45773,294.26068,57.0672642,-67.44214855,292.5578515,,21.89192005,-52.70119999,6.74,2.765552788
358.07769,287.04274,61.01497127,-79.12464565,280.8753543,,11.51187995,-59.91914001,8.76,2.53017422
383.96892,306.69777,54.95626617,-47.10963056,312.8903694,,37.40310997,-40.26411002,8.76,3.138162015
405.33182,322.48548,63.65954829,-22.61202426,337.3879757,,58.76600999,-24.47640004,6.68,-2.786649103
369.25229,296.5876,55.24712174,-65.75518034,294.2448197,,22.68648004,-50.37427998,8.36,2.810251485
357.94429,288.72612,59.33694928,-78.94446019,281.0555398,,11.37847999,-58.23576,8.61,2.546443845
384.72613,308.66992,54.06000576,-45.09865512,314.9013449,,38.16032001,-38.29195998,6.78,-3.102186371
366.09698,295.83746,54.72817302,-69.09153768,290.9084623,,19.53116998,-51.12442001,7.81,2.756462796
378.8401,305.29894,52.70133171,-52.23676599,307.763234,,32.27428999,-41.66294,7.18,3.06839506
363.25045,295.19399,54.39017969,-72.13602019,287.8639798,,16.68463999,-51.76789,7.91,2.706242176
393.43933,317.29275,55.47417554,-32.33223245,327.6677676,,46.87352002,-29.66912996,6.74,-2.891523606
352.37565,287.99257,59.25482059,-84.37320062,275.6267994,,5.809840026,-58.96931,8.46,2.452346319
383.34683,310.6681,51.67283521,-44.61797525,315.3820247,,36.78101997,-36.29378003,7.96,-3.07254163
390.92579,316.79117,53.6477359,-34.2209336,325.7790664,,44.35998,-30.17071,7.2,-2.908731379
369.87624,301.88462,50.74776365,-62.6555336,297.3444664,,23.31042999,-45.07726,8.06,2.904330866
399.9047,324.15833,58.00895689,-23.14777454,336.8522255,,53.33889002,-22.80354996,6.8,-2.752252732
408.79493,330.79576,64.29468728,-14.56261496,345.437385,,62.22911999,-16.16612004,8.11,-2.65083278
362.92115,297.96086,51.65846598,-71.5422533,288.4577467,,16.35534,-49.00102,7.26,2.740857271
366.83287,301.9038,49.40631836,-65.78185293,294.2181471,,20.26706002,-45.05807998,8.31,2.862374412
375.0557,308.66174,47.73441689,-53.35596642,306.6440336,,28.48989001,-38.30013999,7.76,3.095449169
412.49281,336.39121,66.76906764,-9.109214997,350.890785,,65.927,-10.57067,7.51,-2.57342577
390.35582,320.44867,51.19096874,-31.19333409,328.8066659,,43.79001,-26.51321001,6.74,-2.833827963
363.92522,303.19633,47.08261338,-68.36446872,291.6355313,,17.35941001,-43.76555,6.76,2.839972173
413.00394,338.99536,66.91405352,-6.837625184,353.1623748,,66.43813,-7.966520019,6.8,-2.534799915
333.66418,284.43009,63.84885917,-101.6577501,258.3422499,,-12.90163004,-62.53178999,7.18,2.115530513
338.58324,288.72352,58.78288866,-97.80473863,262.1952614,,-7.982569966,-58.23836,8.56,2.22168516
364.19891,307.92416,42.83538022,-65.69159623,294.3084038,,17.63310002,-39.03771999,7.91,2.931116713
358.88368,305.5601,43.19533897,-73.43118984,286.5688102,,12.31787003,-41.40177999,7.28,2.792096907
279.73379,248.9172,118.6561342,-124.280244,235.719756,,-66.83201995,-98.04468009,6.78,1.429032103
342.92547,296.34734,50.74528288,-94.11378989,265.8862101,,-3.640340008,-50.61454,8.01,2.355303724
334.33169,290.17109,58.09360998,-102.1571183,257.8428817,,-12.23411998,-56.79079,7.65,2.151273076
381.54098,326.21308,40.66663519,-30.67827098,329.321729,,34.97516999,-20.74880001,7.42,-2.716517963
361.54279,312.24789,37.80702358,-66.66273365,293.3372664,,14.97698003,-34.71398999,6.72,2.972935881
383.46239,329.31929,40.89766005,-25.55541476,334.4445852,,36.89657999,-17.64259002,8.71,-2.629773374
277.41387,253.34803,116.3853243,-126.4530402,233.5469598,,-69.15193997,-93.61385,6.82,1.400203962
285.90543,259.53193,106.4127711,-124.7535682,235.2464318,,-60.66038,-87.42994997,7.96,1.472025766
386.1781,332.31301,42.2341439,-20.29470569,339.7052943,,39.61228999,-14.64887,8.01,-2.55309068
284.98553,259.95348,106.5954622,-125.2889886,234.7110114,,-61.58027997,-87.00840006,6.6,1.461873606
379.38649,328.14681,37.83125553,-29.8242994,330.1757006,,32.82068,-18.81507,7.22,-2.667599012
355.26458,310.90111,37.09511737,-76.43790432,283.5620957,,8.698770013,-36.06077,8.31,2.811273638
372.58135,323.90452,34.76276991,-41.55030833,318.4496917,,26.01554002,-23.05735999,8.16,-2.83244559
372.28686,325.1564,33.72019234,-40.29020736,319.7097926,,25.72104999,-21.80548002,8.96,-2.796121591
360.63002,318.53761,31.71342189,-63.67398705,296.326013,,14.06421002,-28.42426999,8.01,3.107816817
430.9891,369.60196,87.40632195,15.01198449,15.01198449,,84.42329,22.64008,9.57,-2.279188085
335.20274,300.7128,47.62453948,-103.8037462,256.1962538,,-11.36307002,-46.24908,8.11,2.216053905
467.52161,396.4346,130.6822696,22.2452911,22.2452911,,120.9558,49.47272001,9.01,-2.342235521
384.01577,336.49267,38.88577969,-15.61843956,344.3815604,,37.44995999,-10.46921003,7,-2.432599317
386.19966,338.10328,40.61178228,-12.59915311,347.4008469,,39.63385,-8.858599991,9.01,-2.400342581
374.94316,330.17889,32.96881476,-30.60100521,329.3989948,,28.37735001,-16.78299,7.26,-2.616407343
336.45107,302.70326,45.39970715,-102.8731364,257.1268636,,-10.11473998,-44.25862,8.11,2.254812757
351.14809,314.15132,33.1289924,-82.04956991,277.9504301,,4.582280005,-32.81056,9.06,2.766550061
280.9922,263.9856,105.7589777,-128.3182362,231.6817638,,-65.57360996,-82.97627999,6.96,1.412711081
341.14277,307.33657,39.99468159,-97.79297108,262.2070289,,-5.423040015,-39.62531,7.86,2.403136435
347.37274,313.37141,33.60016088,-88.6238718,271.3761282,,0.806930003,-33.59047,8.71,2.64516043
311.92063,288.1635,68.24615731,-120.5074416,239.4925584,,-34.64518001,-58.79837999,8.31,1.755195504
310.44943,288.10438,69.05503755,-121.5342811,238.4657189,,-36.11637997,-58.85750002,8.06,1.731728351
363.5741,326.96839,26.24922039,-49.61247313,310.3875269,,17.00829001,-19.99348999,8.96,-2.840948812
370.74797,332.41731,28.21916687,-31.02517002,328.97483,,24.18216001,-14.54456999,8.46,-2.550597175
360.45252,325.69546,25.39884514,-56.85595871,303.1440413,,13.88671001,-21.26642,6.78,-2.95187206
343.58088,313.67065,33.42477826,-95.12350535,264.8764946,,-2.984930027,-33.29122999,6.9,2.534183461
346.24846,316.43266,30.53086938,-90.59556585,269.4044342,,-0.317349975,-30.52922,8.61,2.655831792
353.03237,321.68015,26.09563699,-75.65249579,284.3475042,,6.466559994,-25.28173,7.81,2.990514156
367.69332,332.61352,25.53912907,-34.18166572,325.8183343,,21.12751001,-14.34836,7.65,-2.558723303
338.87709,311.99015,35.80695902,-102.39951,257.60049,,-7.688719978,-34.97173,8.41,2.374792049
332.6728,307.61078,41.73158034,-109.4457139,250.5542861,,-13.89300997,-39.3511,8.76,2.179749965
367.79857,333.17103,25.31832619,-33.00405099,326.995949,,21.23276,-13.79085,6.74,-2.53408335
369.03567,334.46593,25.71076379,-29.07933335,330.9206667,,22.46986001,-12.49594998,7.65,-2.472823148
313.09747,294.27847,62.4153144,-122.4266868,237.5733132,,-33.46833999,-52.68341001,7.14,1.763731524
