X,Y,r,theta(deg),theta(360),,X,Y,Age,Deviation
2750.0226,1041.7734,1263.159888,-61.99723854,298.0027615,,593.0714006,-1115.275399,6.85,-2.747691591
3049.937,1290.5163,1244.307925,-44.13865729,315.8613427,,892.9857997,-866.5325001,6.85,-2.416837011
1165.8649,104.97681,2278.870665,-115.779083,244.220917,,-991.0862999,-2052.07199,8.3,1.642071013
1153.5204,177.73139,2219.137395,-116.8830941,243.1169059,,-1003.430801,-1979.317409,8.48,1.654689089
1913.8721,992.70955,1189.442448,-101.792265,258.207735,,-243.0790995,-1164.33925,8.3,2.666739139
840.71371,250.95954,2316.38887,-124.6267653,235.3732347,,-1316.23749,-1906.08926,8.3,1.468046503
2024.599,1117.5784,1047.862499,-97.25623034,262.7437697,,-132.3521992,-1039.4704,6.78,2.898048554
1918.9851,1124.3364,1059.774866,-102.9760659,257.0239341,,-237.9661005,-1032.7124,9,2.784648123
1864.8113,1094.5356,1101.943747,-105.3736829,254.6263171,,-292.1399004,-1062.5132,8.48,2.695959744
2166.9316,1333.2775,823.8317565,-89.30586703,270.694133,,9.980400391,-823.7713,8.6,-2.67961847
1326.6747,743.69309,1639.18682,-120.4321267,239.5678733,,-830.2764992,-1413.355711,8.3,1.956396737
2268.0644,1439.1124,726.483873,-81.2022779,278.7977221,,111.1132001,-717.9364,8.48,-2.37792442
2643.1595,1837.5714,581.7768645,-33.3080867,326.6919133,,486.2083,-319.4774,8.3,-1.25892465
2079.3719,1445.6281,715.6381489,-96.22342298,263.776577,,-77.57930028,-711.4207,8,-2.620923349
2585.3522,1830.613,538.5979468,-37.30691312,322.6930869,,428.4010001,-326.4357998,8.3,-1.230436274
2121.2267,1514.8201,643.2215349,-93.18384375,266.8161563,,-35.72449949,-642.2287,8,-2.431909438
1836.3857,1324.7419,891.906394,-111.0643398,248.9356602,,-320.5654994,-832.3069003,8.9,2.85050608
2602.7697,1897.9657,515.6337728,-30.1625976,329.8374024,,445.8185,-259.0831,7.6,-1.050214182
2059.2818,1512.0043,652.3969027,-98.61003749,261.3899625,,-97.66940009,-645.0445,7.85,-2.544665328
2162.555,1591.1564,565.9201454,-89.43264197,270.567358,,5.603799745,-565.8924,6.9,-2.203265312
2651.532,1956.1602,533.8224399,-22.1059829,337.8940171,,494.5808,-200.8886,8.3,-0.953779791
2330.5527,1735.6662,455.7420064,-67.60928412,292.3907159,,173.6015001,-421.3826,7.78,-1.54642831
3789.745,2798.1744,1754.154391,21.43773112,21.43773112,,1632.7938,641.1255998,8.3,-1.709962136
2249.6211,1686.6971,479.3938173,-78.854194,281.145806,,92.66989999,-470.3517,8,-1.807169543
1537.3797,1220.5519,1122.895938,-123.4879894,236.5120106,,-619.5714997,-936.4969003,8.9,2.357193838
1247.2225,1010.5087,1463.612144,-128.4304403,231.5695597,,-909.7287006,-1146.540099,8.48,1.952806579
3109.3072,2365.7345,974.9521384,12.3596301,12.3596301,,952.356,208.6857,8.48,-1.119863068
2252.2557,1746.2335,421.7252167,-76.93906427,283.0609357,,95.30449978,-410.8153,7.6,-1.610402372
2034.4196,1590.4307,579.7155029,-102.20236,257.79764,,-122.5315996,-566.6181001,9.3,-2.456832952
3168.9849,2416.7644,1044.827451,14.39306909,14.39306909,,1012.0337,259.7155999,8.3,-1.172587247
2488.1205,1925.9697,403.8200784,-34.90607392,325.0939261,,331.1693001,-231.0790999,8.3,-0.821497714
2491.9869,1946.0493,395.9415478,-32.201991,327.798009,,335.0357,-210.9995,8,-0.749192664
2341.3284,1842.5304,364.5775306,-59.62028492,300.3797151,,184.3772001,-314.5183999,8.9,-1.122556753
2408.8604,1895.0576,363.4523819,-46.12391809,313.8760819,,251.9091999,-261.9912,8.6,-0.883061521
2234.4181,1771.4117,393.340938,-78.64157765,281.3584223,,77.46689968,-385.6371001,6.3,-1.55131807
3118.5276,2418.8599,996.5812687,15.23087933,15.23087933,,961.5764,261.8111,8.78,-1.097714272
3032.7003,2362.8019,899.5948112,13.22157893,13.22157893,,875.7491,205.7531001,7.95,-1.002298998
2439.7492,1942.4896,354.9793784,-37.18763655,322.8123635,,282.7980002,-214.5591997,8.3,-0.697031957
2568.7353,2050.6505,425.3078218,-14.48743887,345.5125611,,411.7841,-106.3983002,8.78,-0.531196598
3004.9978,2373.6726,875.2764743,14.32914269,14.32914269,,848.0466,216.6238,7.6,-0.948043038
3044.846,2411.8581,923.7342449,16.01249488,16.01249488,,887.8948,254.8093001,10.08,-0.987335209
1944.5969,1617.7455,579.6053814,-111.4923735,248.5076265,,-212.3542998,-539.3033001,6.9,-2.618732164
2316.8036,1895.4133,306.6038562,-58.57616856,301.4238314,,159.8523998,-261.6355001,8,-0.883624121
1992.8525,1696.412,488.9935019,-109.6080925,250.3919075,,-164.0987001,-460.6368,8,-2.369194184
1903.8281,1649.601,567.0754566,-116.5107566,243.4892434,,-253.1231003,-507.4477998,8,-2.678466633
1917.4712,1660.3794,551.3902096,-115.7420559,244.2579441,,-239.4800003,-496.6693998,9.3,-2.629302958
2548.2237,2119.0152,393.1166799,-5.55198722,354.4480128,,391.2725001,-38.03359987,6.85,-0.274937261
2593.3211,2252.8473,446.7617287,12.38200774,12.38200774,,436.3699,95.79850001,6.85,-0.12495385
2379.8727,2122.278,225.6169402,-8.865433002,351.134567,,222.9215,-34.77079999,6.3,0.001126913
1769.6854,1681.1809,613.5348874,-129.1390225,230.8609775,,-387.2658002,-475.8678998,6.85,2.984175033
2839.0324,2483.7783,756.298175,25.59528211,25.59528211,,682.0812,326.7295,9.48,-0.565212241
2934.1078,2553.5573,872.4628195,27.03086205,27.03086205,,777.1566,396.5085,7.95,-0.722252843
1406.5419,1461.2799,1023.332048,-137.1637554,222.8362446,,-750.4093003,-695.7689002,8.3,2.229968449
2829.6254,2503.2731,756.5459968,27.23480546,27.23480546,,672.6742,346.2243,8.48,-0.537014694
2650.1345,2421.2156,559.476421,28.17511109,28.17511109,,493.1833,264.1668,6.85,-0.136028525
2747.9118,2511.9498,689.3396482,30.98689433,30.98689433,,590.9606,354.901,8.3,-0.352969074
1856.4759,1871.9553,414.2024984,-136.5047072,223.4952928,,-300.4752999,-285.0935001,8.3,-2.627080512
1841.5764,1873.793,423.9046033,-138.07121,221.92879,,-315.3748001,-283.2557999,8.3,-2.683928624
2129.8041,2097.1858,65.73084365,-114.3936803,245.6063197,,-27.14709999,-59.863,6.7,0.104785086
2153.5269,2115.4757,41.71388826,-94.70871868,265.2912813,,-3.424300012,-41.57309999,7,0.529309117
1822.3671,1883.1457,432.3996163,-140.6949564,219.3050436,,-334.5841001,-273.9030999,8.3,-2.755008589
1452.2853,1636.3876,876.1518794,-143.5401692,216.4598308,,-704.6659,-520.6612,8.3,2.305090717
1863.7019,1938.3413,365.8252623,-143.2841514,216.7158486,,-293.2492998,-218.7075003,8.3,-2.587120859
1714.6347,1852.9871,536.7470574,-145.4941945,214.5058055,,-442.3164999,-304.0617003,6.78,2.859240975
2775.5113,2627.6599,777.2331727,37.26449791,37.26449791,,618.5601,470.6110999,7.78,-0.396343943
1714.1473,1868.1467,528.715157,-146.8780427,213.1219573,,-442.8039002,-288.9020998,6.6,2.853188182
925.44174,1303.2311,1498.53936,-145.2660472,214.7339528,,-1231.509459,-853.8177005,9,1.630658177
2562.1439,2496.588,528.6473233,39.96198726,39.96198726,,405.1927,339.5392,8,0.141925836
1643.2161,1832.2974,607.7723462,-147.7014701,212.2985299,,-513.7351002,-324.7513997,6.85,2.671527913
1639.2864,1833.8845,610.2556923,-148.0245687,211.9754313,,-517.6648,-323.1643001,8,2.660993599
2730.2774,2627.8385,741.8529997,39.39130153,39.39130153,,573.3261999,470.7897,8.3,-0.299849389
2071.4232,2172.9142,86.98706629,169.491113,169.491113,,-85.52800001,15.86539995,6.9,-1.580760151
2571.6056,2535.722,561.5439999,42.40314209,42.40314209,,414.6544,378.6732,8.48,0.107596407
2099.2435,2217.4062,83.50565474,133.7143436,133.7143436,,-57.70769995,60.35740004,7.85,-2.153128326
2252.7364,2330.0784,197.7727155,61.03209676,61.03209676,,95.78519996,173.0296,8.9,1.379197472
3004.602,2875.5039,1111.165878,40.2840708,40.2840708,,847.6507997,718.4550997,8.3,-0.799155501
1833.4912,2037.4146,344.8749243,-159.7026936,200.2973064,,-323.4599999,-119.6342001,6.85,-2.798520217
1687.0122,1932.0381,521.0302091,-154.414513,205.585487,,-469.939,-225.0106999,6.85,2.739229286
2542.1992,2554.2309,553.3259817,45.87384233,45.87384233,,385.248,397.1820999,7.95,-0.120461293
2102.7975,2236.5799,96.21756124,124.2514282,124.2514282,,-54.15370007,79.53109995,6.85,-2.498871073
2020.0278,2178.2107,138.5490652,171.2142881,171.2142881,,-136.9233999,21.16190008,8,-2.143888133
2085.1052,2232.1832,103.9568458,133.7183324,133.7183324,,-71.84600001,75.13440005,9,-2.432237466
2529.3934,2578.3458,562.3205087,48.52212294,48.52212294,,372.4421999,421.297,6.85,-0.093597573
2219.0746,2358.5917,210.9001123,72.86865661,72.86865661,,62.12340001,201.5429,7.78,1.508633631
1694.2319,1984.6766,493.7826707,-159.5686307,200.4313693,,-462.7193,-172.3722,6.9,2.713754256
2208.7381,2367.2614,216.4976217,76.16048915,76.16048915,,51.7869,210.2126,9,1.534640217
2059.9799,2278.183,155.1674174,128.6782445,128.6782445,,-96.97129995,121.1342,8.3,2.851100612
1570.4831,1933.6626,627.5716905,-159.1481201,200.8518799,,-586.4680999,-223.3862005,7.6,2.43326148
1967.6185,2226.3898,201.6309638,159.8853041,159.8853041,,-189.3327,69.34100001,8.3,-2.819801257
2068.3243,2299.2712,167.5766644,121.9293906,121.9293906,,-88.62689992,142.2224,8.3,2.640949739
2135.2901,2358.5768,202.6887714,96.13484519,96.13484519,,-21.66109999,201.528,8.3,1.962380187
2315.7501,2498.4606,376.5356661,65.05572029,65.05572029,,158.7989,341.4118,8.3,0.676435162
2469.6742,2614.0491,553.755315,55.61636047,55.61636047,,312.723,457.0003,6.85,0.048646611
2930.9088,2948.4819,1106.967352,45.63960441,45.63960441,,773.9576001,791.4330999,8.3,-0.700859265
2591.425,2720.0544,711.1559523,52.34247927,52.34247927,,434.4738,563.0056,8.3,-0.019952061
1926.0573,2330.2243,288.62042,143.1292964,143.1292964,,-230.8939,173.1754999,8.3,2.358286499
1948.1799,2357.0703,289.1263671,136.2261715,136.2261715,,-208.7713,200.0214999,7.6,2.235701646
2216.0789,2554.6136,401.9376259,81.54070994,81.54070994,,59.12770001,397.5648,8.48,0.885779637
714.01732,1490.5328,1589.434415,-155.2069719,204.7930281,,-1442.93388,-666.5160003,8.3,1.386462698
2377.9029,2702.3912,588.4029121,67.94410765,67.94410765,,220.9517,545.3424,8.3,0.190949912
2019.9646,2463.639,335.8018453,114.0754187,114.0754187,,-136.9866,306.5902,8.3,1.669436082
2082.7341,2516.7758,367.3032704,101.6574165,101.6574165,,-74.21710018,359.7269999,8.48,1.345057303
2137.3312,2566.6536,410.0744281,92.74236199,92.74236199,,-19.62000002,409.6048,8.3,1.057225444
544.8543,1459.8708,1756.392205,-156.6131317,203.3868683,,-1612.0969,-697.1779989,8.3,1.242011475
1913.1973,2453.2414,383.5961679,129.4529261,129.4529261,,-243.7538999,296.1926001,8.48,1.77807626
1944.5243,2479.8742,386.4471849,123.3458808,123.3458808,,-212.4268998,322.8254001,9,1.662598766
1425.0442,2114.2384,733.157955,-176.6524932,183.3475068,,-731.907,-42.81039968,8.48,1.941072644
2028.0415,2558.8376,421.962025,107.7882906,107.7882906,,-128.9097,401.7888,8.3,1.285520498
2082.9939,2608.9603,457.9232316,99.29431439,99.29431439,,-73.9573,451.9115,8.3,1.039089206
1768.2605,2400.671,458.7289359,147.9214805,147.9214805,,-388.6907002,243.6221998,8.3,1.885682987
1951.3471,2537.2298,432.215963,118.404781,118.404781,,-205.6041002,380.1809999,8.85,1.441989412
2087.6783,2657.2307,504.9561048,97.8850438,97.8850438,,-69.27290001,500.1819,7.6,0.89712108
1614.0375,2366.8712,582.0487309,158.869745,158.869745,,-542.9137,209.8223998,7.9,1.79093628
1843.2472,2538.7199,494.0475971,129.4175489,129.4175489,,-313.7040001,381.6710999,8.6,1.473685357
