X,Y,r,theta(deg),theta(360),,X,Y,Age,Deviation
97.310662,268.14747,133.8294479,109.5073353,109.5073353,,-44.68933809,126.14747,8.542825427,-0.511853549
114.4782,267.92373,128.8962189,102.3286585,102.3286585,,-27.52179993,125.92373,8.44870632,-0.534849998
105.25977,265.62343,128.9674259,106.551671,106.551671,,-36.74023005,123.62343,6.698970004,-0.462648732
95.992961,261.77999,128.311705,111.0115928,111.0115928,,-46.00703895,119.77999,6.602059991,-0.370925186
102.48373,262.86067,127.1567424,108.1055309,108.1055309,,-39.51626989,120.86067,6.477121255,-0.397018699
111.79877,263.56411,125.2595191,103.952019,103.952019,,-30.20122991,121.56411,8.167317335,-0.42856772
127.41876,265.9317,124.786533,96.71031105,96.71031105,,-14.58123999,123.9317,6.698970004,-0.544655414
120.98036,264.19631,123.9909813,99.76023501,99.76023501,,-21.01963999,122.19631,6.602059991,-0.474004776
132.98224,266.0449,124.3722526,94.15794812,94.15794812,,-9.017760009,124.0449,6.903089987,-0.580145358
131.13419,265.27877,123.7567007,95.03704211,95.03704211,,-10.86581,123.27877,6,-0.551288921
133.98033,265.43177,123.6920246,93.71742465,93.71742465,,-8.019669993,123.43177,6,-0.572896841
93.24876,256.9027,124.8171217,112.9906776,112.9906776,,-48.75124004,114.9027,8.416640507,-0.261176966
102.4809,257.00168,121.6024081,108.9647367,108.9647367,,-39.51910006,115.0016799,8.041392685,-0.260376083
115.98533,259.19499,120.0476103,102.5154542,102.5154542,,-26.01466999,117.19499,8.354108439,-0.337888907
105.51987,257.16788,120.807452,107.5759165,107.5759165,,-36.48013004,115.1678799,8.041392685,-0.266751951
111.55728,257.94676,119.8766464,104.7113992,104.7113992,,-30.44272002,115.94676,7.880813592,-0.295680885
98.377086,255.4049,121.5056788,111.0399954,111.0399954,,-43.62291404,113.4049,6,-0.221988613
126.4276,259.98555,119.0087797,97.51876244,97.51876244,,-15.57239999,117.98555,8.103803721,-0.40142633
104.58803,255.65285,119.6521033,108.2203859,108.2203859,,-37.41197011,113.65285,6.903089987,-0.229331086
143.55655,262.33101,120.341077,89.25888786,89.25888786,,1.55655001,120.33101,9.262213705,-0.575909612
111.92201,256.77142,118.6472264,104.6851796,104.6851796,,-30.07798998,114.77142,8.385606274,-0.268061726
129.56026,259.72956,118.3849502,96.03170244,96.03170244,,-12.43973999,117.72956,6,-0.413066039
95.891275,253.73514,120.8749603,112.4240261,112.4240261,,-46.10872507,111.73514,8.636487896,-0.183658029
110.28242,255.4077,117.7595487,105.6251095,105.6251095,,-31.71757994,113.4077001,8.667452953,-0.231203129
143.27585,260.6304,118.6372606,89.38381728,89.38381728,,1.275850009,118.6304,8.949390007,-0.534892099
99.013398,252.96511,119.0004352,111.1757924,111.1757924,,-42.98660204,110.9651099,7.662757832,-0.162875214
119.26787,256.33262,116.5705697,101.245159,101.245159,,-22.73212994,114.33262,8.071882007,-0.280008529
119.45149,255.92064,116.1307346,101.1959423,101.1959423,,-22.54851006,113.92064,8.103803721,-0.270571568
113.85064,254.93386,116.3891885,103.9960767,103.9960767,,-28.14936009,112.93386,8.918030337,-0.22775478
122.51004,256.21719,115.8681364,99.68365098,99.68365098,,-19.48995999,114.21719,7.69019608,-0.29080035
120.11723,255.49403,115.5843868,100.9132714,100.9132714,,-21.88276999,113.49403,8.260071388,-0.262661392
95.881485,251.05767,118.4081619,112.9226223,112.9226223,,-46.11851492,109.05767,7.505149978,-0.118797839
92.9857,250.38495,118.9525073,114.3336352,114.3336352,,-49.01430003,108.38495,6.84509804,-0.106663294
113.88547,253.55075,115.0391091,104.1458502,104.1458502,,-28.11452994,111.55075,6.84509804,-0.193363016
90.43136,249.39561,119.1349725,115.6491341,115.6491341,,-51.56864005,107.3956099,6.954242509,-0.087878143
98.484594,250.55429,116.9513764,111.8440264,111.8440264,,-43.51540609,108.55429,8.103803721,-0.103906244
139.37596,257.09866,115.1285678,91.30601327,91.30601327,,-2.624039997,115.09866,8.729974286,-0.419577604
134.01244,256.06926,114.3485776,94.00552841,94.00552841,,-7.987560012,114.06926,6,-0.353947063
85.079529,247.01463,119.4487862,118.4587645,118.4587645,,-56.92047096,105.01463,8.167317335,-0.046005678
150.65576,258.22942,116.5512774,85.74096874,85.74096874,,8.655759994,116.22942,8.729974286,-0.550156905
111.00179,251.33478,113.6441074,105.8289063,105.8289063,,-30.99821008,109.33478,8.041392685,-0.130758873
87.162997,246.86054,118.3335529,117.6073964,117.6073964,,-54.83700294,104.86054,8.133538908,-0.035316418
125.76011,253.15435,112.3344273,98.31222596,98.31222596,,-16.23989001,111.15435,8.071882007,-0.230379453
108.11175,249.99509,113.1872473,107.421563,107.421563,,-33.88824995,107.99509,6,-0.09199053
103.50417,249.19875,113.9012771,109.7535726,109.7535726,,-38.49583004,107.19875,8.227886705,-0.068416926
111.63947,250.39642,112.5679601,105.6469186,105.6469186,,-30.36052991,108.39642,8.292256071,-0.108021171
116.35569,250.22707,111.2237804,103.3303374,103.3303374,,-25.64430992,108.2270701,7.662757832,-0.115734632
136.62351,253.54009,111.6695944,92.75965293,92.75965293,,-5.376489991,111.54009,8.260071388,-0.311123003
